station_name,region,cluster,status,avg_healthiness,avg_healthiness_pct,healthy_seconds,degraded_seconds,unhealthy_seconds,missing_seconds
ASGEUPOS-MLCN,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
ASGEUPOS-SWIB,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
CADV00USA,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
CPOS-STAD,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
CPOS-SULC,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
ERGNSS-LNGS0,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
EUREF-KURE00EST,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
EUREF-SUR400EST,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
EUREF-TOIL00EST,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
FIJM01FIN,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
GEODNET-08D1F9637C71,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-08D1F9A1728D,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
GEODNET-08D1F9A193B9,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
GEODNET-08D1F9A19D89,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-08D1F9A1A769,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
GEODNET-08D1F9A73DBD,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-08D1F9A75291,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-244CABCF637D,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
GEODNET-24DCC3E10AC9,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-24DCC3E11169,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-24DCC3E1139D,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-24DCC3E11405,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-24DCC3E11629,NA,na,unhealthy,0.000000,0.0000,0,0,1807800,0
GEODNET-24DCC3E146A5,EU,eu,unhealthy,0.000000,0.0000,0,0,1827300,0
